
2026-09-03T13:34:05.396Z [INFO ] apihub key crypto: electron safeStorage injected
2026-09-03T13:34:05.398Z [INFO ] autostart applied from settings login_autostart=0
2026-09-03T13:34:05.399Z [INFO ] gateway registered on "devhub:invoke" with 68 channels
2026-09-03T13:43:13.170Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:13.173Z [INFO ] gateway: GET /v1/sessions/305/messages from 127.0.0.1 -> 200
2026-09-03T13:43:13.486Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:43:16.182Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:19.191Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:22.199Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:25.207Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:28.215Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:31.223Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:34.230Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:37.237Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:40.246Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:43.254Z [INFO ] gateway: GET /v1/sessions/305 from 127.0.0.1 -> 200
2026-09-03T13:43:43.950Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:43:45.991Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:43:48.022Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:43:50.052Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:43:52.083Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:43:54.115Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:43:56.154Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:43:58.196Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:00.226Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:02.257Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:04.286Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:06.324Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:08.355Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:10.384Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:12.409Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:14.438Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:16.469Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:18.501Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:20.532Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:22.563Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T13:44:31.144Z [INFO ] gateway: GET /v1/agents from 127.0.0.1 -> 200
