

DevTools listening on ws://127.0.0.1:9222/devtools/browser/843c0f49-ea5b-4a33-938c-b1387bfafbfa
2026-09-03T17:23:20.012Z [INFO ] apihub key crypto: electron safeStorage injected
2026-09-03T17:23:20.014Z [INFO ] autostart applied from settings login_autostart=0
2026-09-03T17:23:20.015Z [INFO ] gateway registered on "devhub:invoke" with 68 channels
2026-09-03T17:25:20.336Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:22.371Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:24.402Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:26.430Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:28.461Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:30.490Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:32.525Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:34.553Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:36.580Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:38.606Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:40.635Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:42.675Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:44.704Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:46.734Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:48.762Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:50.791Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:52.831Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:54.860Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:56.898Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:25:58.933Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:00.960Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:03.000Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:05.028Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:07.055Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:09.082Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:11.111Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:13.143Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:15.171Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:17.197Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:19.223Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:21.241Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:23.281Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:25.312Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:27.340Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:29.367Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:31.393Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:33.427Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:35.455Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:37.483Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:39.513Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:41.541Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:43.576Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:45.603Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:47.630Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:49.656Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:51.684Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:53.720Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:55.748Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:57.775Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:26:59.802Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:01.831Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:03.867Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:05.894Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:07.922Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:09.951Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:11.978Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:14.011Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:16.042Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:18.073Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:20.102Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:22.118Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:24.151Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:26.181Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:28.209Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:30.240Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:32.267Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:34.301Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:36.332Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:38.358Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:40.389Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:42.419Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:44.454Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:46.483Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:48.510Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:50.540Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:52.571Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:54.609Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:27:56.645Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:08.798Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:10.847Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:12.883Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:14.917Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:16.955Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:18.982Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:21.011Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:23.035Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:25.064Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
2026-09-03T17:28:27.093Z [INFO ] gateway: GET /v1/sessions from 127.0.0.1 -> 200
